"","title","created_at","updated_at","id","chamber","state","session","type","bill_id"
"1","Relating to certain reporting requirements for law enforcement agencies and to the creation of a criminal justice web portal by the office of the attorney general; providing a civil penalty.","2016-12-28 00:23:51","2017-06-16 10:11:57","TXB00047907","lower","tx","85","bill","HB 245"
"2","Relating to the exemption from ad valorem taxation of, and the deferral or abatement of ad valorem taxes on, certain residence homesteads.","2016-12-28 00:23:52","2017-06-16 10:11:56","TXB00047950","lower","tx","85","bill","HB 150"
"3","Relating to the liability of first responders who provide roadside assistance.","2016-12-28 00:23:52","2017-06-16 10:12:07","TXB00047962","lower","tx","85","bill","HB 590"
"4","Relating to restricting access to certain information that relates to a person convicted of or granted a dismissal after deferral of disposition for a fine-only misdemeanor offense.","2016-12-28 00:23:52","2017-06-16 10:11:51","TXB00048025","lower","tx","85","bill","HB 681"
"5","Relating to a waiver for certain programs from youth camp licensing.","2016-12-28 00:23:52","2017-06-16 10:12:10","TXB00048077","lower","tx","85","bill","HB 492"
"6","Relating to the confidentiality of certain home address information in ad valorem tax appraisal records.","2016-12-28 00:23:52","2017-06-16 10:12:18","TXB00048117","lower","tx","85","bill","HB 457"
"7","Relating to the creation of a task force to identify opportunities for academic credit and industry recognition for inmates of the Texas Department of Criminal Justice.","2016-12-28 00:23:53","2017-06-16 10:11:57","TXB00048174","lower","tx","85","bill","HB 553"
"8","Designating Spurger as the Knife Capital of Texas for a 10-year period beginning in 2017.","2016-12-28 00:23:53","2017-06-16 10:12:25","TXB00048182","lower","tx","85","concurrent resolution","HCR 27"
"9","Relating to conditions of community supervision for defendants convicted of certain criminal offenses involving animals; authorizing fees.","2016-12-28 00:23:53","2017-06-17 10:14:35","TXB00048192","lower","tx","85","bill","HB 162"
"10","Relating to operation of public schools on Memorial Day.","2016-12-28 00:23:53","2017-06-16 10:12:35","TXB00048279","lower","tx","85","bill","HB 441"
"11","Relating to consideration under the public school accountability system of performance on assessment instruments by certain students formerly receiving special education services and to the placement and use of video cameras in certain self-contained classrooms or other settings providing special education services.","2016-12-28 00:23:53","2017-06-16 10:11:51","TXB00048300","lower","tx","85","bill","HB 61"
"12","Relating to designating March 21 as BRAVE Day.","2016-12-28 00:23:53","2017-06-16 10:12:34","TXB00048310","lower","tx","85","bill","HB 210"
"13","Relating to a parent's right to view the body of a deceased child before an autopsy is performed.","2016-12-28 00:23:54","2017-06-17 10:14:49","TXB00048411","lower","tx","85","bill","HB 298"
"14","Relating to health benefit plan coverage of hearing aids and cochlear implants for certain individuals.","2016-12-28 00:23:54","2017-06-16 10:12:19","TXB00048464","lower","tx","85","bill","HB 490"
"15","Relating to the occurrence on certain premises of certain activities that may constitute a common nuisance.","2016-12-28 00:23:54","2017-06-16 10:11:58","TXB00048467","lower","tx","85","bill","HB 240"
"16","Relating to the procedure for the entering of a plea or a stipulation of evidence by a child subject to a determinate sentence.","2016-12-28 00:23:54","2017-06-16 10:12:18","TXB00048483","lower","tx","85","bill","HB 678"
"17","Relating to the carrying of weapons, including the application of certain weapons and handgun license laws to certain persons, the carrying of handguns by license holders on the property of a state hospital, and the liability for certain actions of volunteer emergency services personnel licensed to carry a handgun; providing a civil penalty.","2016-12-28 00:23:54","2017-06-16 10:12:31","TXB00048504","lower","tx","85","bill","HB 435"
"18","Relating to the use by certain tax-exempt organizations of certain payments made in connection with real property transfers to provide educational activities through certain schools.","2016-12-28 00:23:55","2017-06-16 10:11:58","TXB00048547","lower","tx","85","bill","HB 755"
"19","Relating to the issuance of certain specialty license plates, specially marked driver's licenses, and specially marked personal identification certificates.","2016-12-28 00:23:55","2017-06-16 10:12:20","TXB00048563","lower","tx","85","bill","HB 377"
"20","Relating to the requirement that certain elected school district boards make audio and video recordings of certain work sessions and special called meetings available on the Internet.","2016-12-28 00:23:55","2017-06-16 10:12:34","TXB00048603","lower","tx","85","bill","HB 523"
"21","Relating to the provision of notice of proposed rules by state agencies.","2016-12-28 00:23:55","2017-06-16 10:12:02","TXB00048610","lower","tx","85","bill","HB 462"
"22","Relating to the designation of January 9 as Law Enforcement Appreciation Day.","2016-12-28 00:23:55","2017-06-17 10:14:58","TXB00048624","lower","tx","85","bill","HB 297"
"23","Relating to investigations of child abuse, neglect, or exploitation and to child protective services functions of the Department of Family and Protective Services.","2016-12-28 00:23:55","2017-06-17 10:14:54","TXB00048635","lower","tx","85","bill","HB 249"
"24","Relating to acreage contracts and quantity contracts for the purchase of agricultural products.","2016-12-28 00:23:55","2017-06-16 10:12:18","TXB00048664","lower","tx","85","bill","HB 338"
"25","Relating to the prosecution of the offense of possession or use of law enforcement identification, insignia, or vehicles in a municipality and the clarification of the offenses of false identification as a peace officer and misrepresentation of property.","2016-12-28 00:23:55","2017-06-16 10:12:30","TXB00048724","lower","tx","85","bill","HB 683"
"26","Relating to the expunction of arrest records and files for certain persons and to the return of certain fees to a person whose criminal record has been expunged; authorizing a fee.","2016-12-28 00:23:56","2017-06-16 10:12:15","TXB00048767","lower","tx","85","bill","HB 557"
"27","Relating to a recording of certain proceedings of the Texas Supreme Court and Court of Criminal Appeals and the publication of the recordings.","2016-12-28 00:23:56","2017-06-16 10:12:09","TXB00048771","lower","tx","85","bill","HB 214"
"28","Relating to the use of school district buildings as polling place locations.","2016-12-28 00:23:56","2017-06-16 10:12:24","TXB00048777","lower","tx","85","bill","HB 332"
"29","Relating to voting by voters with certain disabilities or voters who reside at a residential care facility.","2016-12-28 00:23:56","2017-06-16 10:12:13","TXB00048791","lower","tx","85","bill","HB 658"
"30","Relating to establishing a statewide electronic tracking system for evidence of a sex offense.","2016-12-28 00:23:56","2017-06-16 10:12:21","TXB00048796","lower","tx","85","bill","HB 281"
"31","Relating to authorization for certain health care facilities to secure residents with wheelchair self-release seat belts.","2016-12-28 00:23:56","2017-06-16 10:12:03","TXB00048845","lower","tx","85","bill","HB 284"
"32","Relating to the administrative, civil, and criminal consequences, including fines, fees, and costs, imposed on persons arrested for, charged with, or convicted of certain criminal offenses and to the creation of a commission to review certain penal laws of this state; increasing a criminal penalty.","2016-12-28 00:23:56","2017-06-16 10:12:09","TXB00048854","lower","tx","85","bill","HB 351"
"33","Relating to the continuation of certain public benefits, including medical assistance benefits, for individuals after release from confinement in a county jail.","2016-12-28 00:23:56","2017-06-17 10:15:03","TXB00048873","lower","tx","85","bill","HB 337"
"34","Relating to the eligibility of the children of certain first responders for free prekindergarten programs in public schools.","2016-12-28 00:23:56","2017-06-16 10:12:32","TXB00048885","lower","tx","85","bill","HB 357"
"35","Relating to waiver of immunity in certain employment discrimination actions in connection with a workers' compensation claim.","2016-12-28 00:23:56","2017-06-16 10:11:54","TXB00048940","lower","tx","85","bill","HB 451"
"36","Relating to permitting credit unions and other financial institutions to award prizes by lot to promote savings.","2016-12-28 00:23:57","2017-06-16 10:12:22","TXB00048978","lower","tx","85","bill","HB 471"
"37","Relating to the disposal of pesticides.","2016-12-28 00:23:57","2017-06-16 10:12:00","TXB00048981","lower","tx","85","bill","HB 572"
"38","Designating the city of Rockwall as the official Live Music Capital of North Texas for a 10-year period beginning in 2017.","2017-01-03 05:51:34","2017-06-16 10:11:58","TXB00049011","lower","tx","85","concurrent resolution","HCR 42"
"39","Relating to the removal of certain information from personal financial statements filed by certain persons.","2017-01-03 05:51:36","2017-06-16 10:11:55","TXB00049018","lower","tx","85","bill","HB 776"
"40","Relating to minimum scores required for students in certain school districts to pass an examination for acceleration or for credit.","2017-01-03 05:51:37","2017-06-16 10:11:57","TXB00049031","lower","tx","85","bill","HB 789"
"41","Relating to designating April as Sexual Assault Awareness Month.","2017-01-05 05:51:44","2017-06-16 10:12:21","TXB00049062","lower","tx","85","bill","HB 822"
"42","Relating to regulating the custody transfer of an adopted child; creating a criminal offense.","2017-01-06 05:52:54","2017-06-16 10:11:45","TXB00049091","lower","tx","85","bill","HB 834"
"43","Relating to the implementation of student financial assistance programs for veterans and their families.","2017-01-07 05:53:08","2017-06-16 10:12:27","TXB00049150","lower","tx","85","bill","HB 846"
"44","Relating to establishing a veterans services coordinator for the Texas Department of Criminal Justice and a veterans reentry dorm program for certain state jail defendants confined by the department.","2017-01-10 05:54:37","2017-06-16 10:12:11","TXB00049154","lower","tx","85","bill","HB 865"
"45","Relating to the exemption from the taxes imposed on the sale, use, or rental of certain motor vehicles owned or used by a church, religious society, or open-enrollment charter school and from registration fees for motor vehicles owned by open-enrollment charter schools.","2017-01-10 05:54:38","2017-06-16 10:11:47","TXB00049162","lower","tx","85","bill","HB 897"
"46","Relating to school marshals.","2017-01-10 05:54:40","2017-06-16 10:12:04","TXB00049190","lower","tx","85","bill","HB 867"
"47","Relating to workers' compensation insurance coverage for certain intrastate fire mutual aid system team members and regional incident management team members.","2017-01-18 03:03:19","2017-06-16 10:12:15","TXB00049217","lower","tx","85","bill","HB 919"
"48","Relating to the time for returning ballots mailed by certain federal postcard applicants.","2017-01-18 03:03:20","2017-06-16 10:12:13","TXB00049232","lower","tx","85","bill","HB 929"
"49","Relating to liability of certain electric utilities that contract with political subdivisions for certain uses of land that the electric utility owns, occupies, or leases.","2017-01-18 03:03:21","2017-06-16 10:12:31","TXB00049290","lower","tx","85","bill","HB 931"
"50","Relating to coverage for certain breast cancer screening procedures under certain health benefit plans.","2017-01-18 03:03:21","2017-06-16 10:12:21","TXB00049299","lower","tx","85","bill","HB 1036"
"51","Relating to the powers of the TexAmericas Center.","2017-01-18 03:03:22","2017-06-16 10:12:23","TXB00049313","lower","tx","85","bill","HB 967"
"52","Relating to the prosecution of the criminal offense of the possession, manufacture, transport, repair, or sale of certain prohibited explosive weapons.","2017-01-18 03:03:22","2017-06-16 10:12:34","TXB00049340","lower","tx","85","bill","HB 913"
"53","Relating to the election of junior college district trustees.","2017-01-18 03:03:23","2017-06-16 10:12:26","TXB00049385","lower","tx","85","bill","HB 961"
"54","Relating to the establishment of a state plan for Streptococcus pneumoniae education and prevention.","2017-01-18 03:03:23","2017-06-16 10:12:20","TXB00049415","lower","tx","85","bill","HB 970"
"55","Relating to the new instructional facility allotment under the foundation school program.","2017-01-18 03:03:24","2017-06-16 10:12:12","TXB00049469","lower","tx","85","bill","HB 1081"
"56","Relating to the licensing and regulation of providers of driver and traffic safety education.","2017-01-18 03:03:25","2017-06-16 10:12:08","TXB00049490","lower","tx","85","bill","HB 912"
"57","Relating to the form and revocation of medical powers of attorney.","2017-01-18 03:03:25","2017-06-16 10:12:00","TXB00049506","lower","tx","85","bill","HB 995"
"58","Relating to the collection of certain judgments through court proceeding.","2017-01-18 03:03:26","2017-06-16 10:12:21","TXB00049530","lower","tx","85","bill","HB 1066"
"59","Relating to the authority of counties to advertise on personal property owned or leased by the county.","2017-01-20 05:35:36","2017-06-16 10:12:05","TXB00049563","lower","tx","85","bill","HB 1170"
"60","Relating to the designation of a portion of Farm-to-Market Road 649 as the State Trooper David Lee Nevarez Memorial Highway.","2017-01-20 05:35:38","2017-06-16 10:12:27","TXB00049617","lower","tx","85","bill","HB 1162"
"61","Relating to the child safety zone applicable to registered sex offenders and to certain other persons who are released on parole or to mandatory supervision.","2017-01-20 05:35:40","2017-06-16 10:11:57","TXB00049646","lower","tx","85","bill","HB 1111"
"62","Relating to liability of certain electric utilities that allow certain uses of land that the electric utility owns, occupies, or leases.","2017-01-20 05:35:40","2017-06-16 10:12:23","TXB00049650","lower","tx","85","bill","HB 1166"
"63","Relating to the deadline for returning a ballot voted by mail.","2017-01-20 05:35:41","2017-06-16 10:12:08","TXB00049697","lower","tx","85","bill","HB 1151"
"64","Relating to the powers and duties of the Kaufman County Fresh Water Supply District No. 1-A; providing authority to issue bonds and levy assessments.","2017-01-24 05:37:23","2017-06-16 10:12:24","TXB00049768","lower","tx","85","bill","HB 1207"
"65","Relating to the powers and duties of the Kaufman County Fresh Water Supply District No. 1-D; providing authority to issue bonds and levy assessments.","2017-01-24 05:37:24","2017-06-16 10:12:02","TXB00049774","lower","tx","85","bill","HB 1208"
"66","Relating to designating July 26 as Waxahachie Chautauqua Day.","2017-01-25 05:38:52","2017-06-16 10:12:09","TXB00049836","lower","tx","85","bill","HB 1254"
"67","Designating July as Train Safety Awareness Month for a 10-year period beginning in 2017.","2017-01-25 05:38:53","2017-06-16 10:12:26","TXB00049847","lower","tx","85","concurrent resolution","HCR 49"
"68","Relating to notice provided to vehicle owners and lienholders by operators of vehicle storage facilities.","2017-01-25 05:38:53","2017-06-16 10:12:11","TXB00049852","lower","tx","85","bill","HB 1247"
"69","Relating to the issuance of Blessed are the Peacemakers specialty license plates.","2017-01-25 05:38:53","2017-06-16 10:12:23","TXB00049856","lower","tx","85","bill","HB 1256"
"70","Relating to investment training for officers of public housing authorities.","2017-01-25 05:38:53","2017-06-16 10:12:19","TXB00049864","lower","tx","85","bill","HB 1238"
"71","Relating to filing fees imposed in civil cases in Hidalgo County and Cameron County.","2017-01-25 05:38:56","2017-06-16 10:11:46","TXB00049899","lower","tx","85","bill","HB 1234"
"72","Relating to availability of personal information of certain current and former prosecutors.","2017-01-26 05:40:24","2017-06-16 10:12:31","TXB00049924","lower","tx","85","bill","HB 1278"
"73","Relating to health benefit coverage for prescription drug synchronization.","2017-01-26 05:40:25","2017-06-16 10:12:23","TXB00049930","lower","tx","85","bill","HB 1296"
"74","Relating to the licensing and regulation of a journeyman lineman.","2017-01-26 05:40:25","2017-06-16 10:12:24","TXB00049934","lower","tx","85","bill","HB 1284"
"75","Relating to the regulation of commercial shrimp unloading; requiring an occupational license; authorizing a fee.","2017-01-26 05:40:26","2017-06-16 10:12:08","TXB00049939","lower","tx","85","bill","HB 1260"
"76","Relating to the required repeal of a state agency rule and a government growth impact statement before adoption of a new state agency rule.","2017-01-26 05:40:26","2017-06-16 10:12:25","TXB00049944","lower","tx","85","bill","HB 1290"
"77","Relating to the concurrent jurisdiction of certain municipal courts in certain criminal cases punishable by fine only.","2017-01-26 05:40:27","2017-06-16 10:12:16","TXB00049960","lower","tx","85","bill","HB 1264"
"78","Relating to notice for hearings and trial settings in criminal cases.","2017-01-26 05:40:28","2017-06-16 10:12:10","TXB00049970","lower","tx","85","bill","HB 1266"
"79","Relating to the designation of certain highways and locations, including the establishment of the Tom Lea Trail.","2017-01-27 05:42:10","2017-06-16 10:12:07","TXB00050010","lower","tx","85","bill","HB 1317"
"80","Relating to child sexual abuse prevention training for public school students.","2017-01-31 05:44:32","2017-06-16 10:11:53","TXB00050154","lower","tx","85","bill","HB 1342"
"81","Urging Congress to pass a budget.","2017-02-02 06:06:04","2017-06-16 10:12:13","TXB00050238","lower","tx","85","concurrent resolution","HCR 59"
"82","Relating to the issuance of a certificate of relief from collateral consequences to certain persons placed on community supervision, including deferred adjudication community supervision, for certain criminal offenses.","2017-02-02 06:06:05","2017-06-16 10:12:24","TXB00050274","lower","tx","85","bill","HB 1426"
"83","Relating to the release of certain defendants pending a motion for new trial or an appeal from a misdemeanor conviction.","2017-02-02 06:06:05","2017-06-16 10:12:25","TXB00050275","lower","tx","85","bill","HB 1442"
"84","Relating to the creation of the Harris County Municipal Utility District No. 552; granting a limited power of eminent domain; providing authority to issue bonds; providing authority to impose assessments, fees, and taxes.","2017-02-02 06:06:05","2017-06-16 10:12:32","TXB00050284","lower","tx","85","bill","HB 1455"
"85","Relating to the sanitation and safety requirements for certain artificial bodies of water maintained for public recreational purposes.","2017-02-02 06:06:06","2017-06-16 10:11:53","TXB00050301","lower","tx","85","bill","HB 1468"
"86","Relating to the public sale of real property under a power of sale in a security instrument.","2017-02-02 06:06:07","2017-06-16 10:12:04","TXB00050314","lower","tx","85","bill","HB 1470"
"87","Recognizing the Stop the Bleed campaign.","2017-02-02 06:06:07","2017-06-16 10:12:08","TXB00050322","lower","tx","85","concurrent resolution","HCR 61"
"88","Relating to the authority of the asset management division of the General Land Office to sell real property to a federally recognized Indian tribe.","2017-02-02 06:06:07","2017-06-16 10:12:09","TXB00050325","lower","tx","85","bill","HB 1406"
"89","Relating to information included in the curriculum of each driver education course and driving safety course.","2017-02-02 06:06:08","2017-06-16 10:12:28","TXB00050355","lower","tx","85","bill","HB 1372"
"90","Relating to the establishment of the emergency medical services assistance program.","2017-02-02 06:06:11","2017-06-16 10:11:57","TXB00050415","lower","tx","85","bill","HB 1407"
"91","Relating to the statute of limitations applicable to the collection of a contribution, a penalty, or interest under the Texas Unemployment Compensation Act.","2017-02-02 06:06:11","2017-06-16 10:12:14","TXB00050417","lower","tx","85","bill","HB 1433"
"92","Relating to the operation of an unmanned aircraft over certain facilities or sports venues; creating a criminal offense.","2017-02-02 06:06:11","2017-06-16 10:12:26","TXB00050425","lower","tx","85","bill","HB 1424"
"93","Relating to the administration of the owner-builder loan program.","2017-02-03 05:56:56","2017-06-16 10:12:15","TXB00050441","lower","tx","85","bill","HB 1512"
"94","Relating to the public school accountability system.","2017-02-03 05:56:57","2017-06-16 10:11:54","TXB00050447","lower","tx","85","bill","HB 1500"
"95","Relating to the abolition of the fee established by the commissioner of the General Land Office for processing applications for terminal facility discharge prevention and response certificates.","2017-02-03 05:56:58","2017-06-16 10:11:50","TXB00050464","lower","tx","85","bill","HB 1481"
"96","Relating to peer specialists, peer services, and the provision of those services under the medical assistance program.","2017-02-03 05:56:59","2017-06-16 10:12:21","TXB00050474","lower","tx","85","bill","HB 1486"
"97","Relating to notice to applicants to and enrollees in certain educational programs regarding the consequences of a criminal conviction on eligibility for an occupational license.","2017-02-03 05:57:00","2017-06-16 10:12:24","TXB00050484","lower","tx","85","bill","HB 1508"
"98","Relating to the rights of certain defendants who successfully complete a term of community supervision.","2017-02-03 05:57:01","2017-06-16 10:12:31","TXB00050492","lower","tx","85","bill","HB 1507"
"99","Relating to the transfer of certain functions related to emergency services districts from the Department of Agriculture to the Texas Division of Emergency Management.","2017-02-03 05:57:02","2017-06-16 10:12:21","TXB00050495","lower","tx","85","bill","HB 1510"
"100","Relating to a writ of mandamus by a court of appeals against an associate judge in certain cases.","2017-02-03 05:57:02","2017-06-16 10:12:00","TXB00050497","lower","tx","85","bill","HB 1480"
"101","Relating to the reporting of attempted child abductions.","2017-02-03 05:57:02","2017-06-16 10:12:26","TXB00050503","lower","tx","85","bill","HB 1503"
"102","Relating to access to records that pertain to the testing for, and fitting and dispensing of, hearing instruments.","2017-02-04 05:53:39","2017-06-16 10:12:20","TXB00050527","lower","tx","85","bill","HB 1543"
"103","Relating to the acceptance of certain high school courses to satisfy part of the training required to obtain a peace officer license.","2017-02-04 05:53:39","2017-06-16 10:11:53","TXB00050528","lower","tx","85","bill","HB 1545"
"104","Relating to the exchange of certain information between the Department of Family and Protective Services or certain foster care services contractors and a state or local juvenile justice agency.","2017-02-04 05:53:41","2017-06-16 10:12:02","TXB00050543","lower","tx","85","bill","HB 1521"
"105","Relating to the definition of the least restrictive environment for the placement of children in foster care.","2017-02-04 05:53:43","2017-06-16 10:12:27","TXB00050554","lower","tx","85","bill","HB 1542"
"106","Relating to certain mental health screenings under the Texas Health Steps program.","2017-02-07 06:10:18","2017-06-16 10:11:55","TXB00050584","lower","tx","85","bill","HB 1600"
"107","Relating to the services that require a structural pest control license; changing the applicability of an occupational license.","2017-02-07 06:10:21","2017-06-16 10:12:28","TXB00050624","lower","tx","85","bill","HB 1586"
"108","Relating to the provision of services by the Department of Family and Protective Services, including child protective services and prevention and early intervention services.","2017-02-07 06:10:22","2017-06-16 10:12:25","TXB00050641","lower","tx","85","bill","HB 1549"
"109","Relating to permitting a school district that has failed to satisfy performance standards to partner with an institution of higher education to improve district performance.","2017-02-07 06:10:22","2017-06-16 10:12:29","TXB00050645","lower","tx","85","bill","HB 1553"
"110","Relating to the engagement strategies included in a school district's family engagement plan.","2017-02-07 06:10:25","2017-06-16 10:12:18","TXB00050678","lower","tx","85","bill","HB 1593"
"111","Relating to the appointment of foster parents and other qualified persons to serve as educational decision-makers for certain children in the conservatorship of the Department of Family and Protective Services.","2017-02-07 06:10:25","2017-06-16 10:12:10","TXB00050679","lower","tx","85","bill","HB 1556"
"112","Relating to the disclosure to public schools of certain records of students placed in residential facilities.","2017-02-07 06:10:26","2017-06-16 10:12:26","TXB00050698","lower","tx","85","bill","HB 1569"
"113","Relating to creating a pilot program to provide summer internships for foster youth.","2017-02-08 06:08:36","2017-06-16 10:12:15","TXB00050710","lower","tx","85","bill","HB 1608"
"114","Relating to reporting requirements for investigations of abuse, neglect, or exploitation against residents of certain health facilities.","2017-02-08 06:08:42","2017-06-16 10:12:21","TXB00050762","lower","tx","85","bill","HB 1642"
"115","Relating to an election of the board of directors of the Ochiltree County Hospital District.","2017-02-08 06:08:42","2017-06-16 10:11:58","TXB00050765","lower","tx","85","bill","HB 1631"
"116","Relating to the regulation of the operation of an unmanned aircraft and the prosecution of a related criminal offense.","2017-02-08 06:08:43","2017-06-16 10:12:08","TXB00050767","lower","tx","85","bill","HB 1643"
"117","Relating to the development of a quality-based outcome measure for the child health plan program and Medicaid regarding certain persons with HIV.","2017-02-08 06:08:43","2017-06-16 10:12:30","TXB00050779","lower","tx","85","bill","HB 1629"
"118","Relating to a documented member of the Kickapoo Traditional Tribe of Texas hunting certain deer.","2017-02-27 06:45:44","2017-06-16 10:12:35","TXB00050788","lower","tx","85","bill","HB 1891"
"119","Relating to the prosecution and punishment of certain trafficking and sexual offenses; creating a criminal offense.","2017-02-27 06:45:48","2017-06-16 10:11:57","TXB00050875","lower","tx","85","bill","HB 1808"
"120","Relating to the imposition of a criminal penalty for the violation of a rule adopted or order issued under the Flood Control and Insurance Act in certain counties.","2017-02-27 06:45:49","2017-06-16 10:12:22","TXB00050923","lower","tx","85","bill","HB 2334"
"121","Relating to the creation and operations of health care provider participation programs in certain counties.","2017-02-27 06:45:49","2017-06-16 10:11:55","TXB00050927","lower","tx","85","bill","HB 2062"
"122","Relating to the feasibility of creating and maintaining a coastal barrier system.","2017-02-27 06:45:49","2017-06-16 10:12:18","TXB00050936","lower","tx","85","bill","HB 2252"
"123","Relating to creating an early childhood certification to teach students in prekindergarten through grade three.","2017-02-27 06:45:50","2017-06-16 10:12:14","TXB00050957","lower","tx","85","bill","HB 2039"
"124","Relating to the development of brackish groundwater.","2017-02-27 06:45:50","2017-06-16 10:12:32","TXB00050969","lower","tx","85","bill","HB 2377"
"125","Relating to the operation of metropolitan rapid transit authorities.","2017-02-27 06:45:50","2017-06-16 10:11:53","TXB00050975","lower","tx","85","bill","HB 1764"
"126","Relating to the designation of certain rest areas on Interstate Highway 27 in Hale County as the Nelda Laney Safety Rest Areas.","2017-02-27 06:45:51","2017-06-16 10:12:06","TXB00051032","lower","tx","85","bill","HB 1691"
"127","Relating to alternative registration technologies for commercial motor vehicles.","2017-02-27 06:45:51","2017-06-16 10:12:21","TXB00051078","lower","tx","85","bill","HB 1959"
"128","Relating to financial accounting and reporting requirements for this state and political subdivisions of this state.","2017-02-27 06:45:51","2017-06-16 10:12:13","TXB00051080","lower","tx","85","bill","HB 1930"
"129","Relating to the authority to conduct a runoff primary election by mail in certain counties.","2017-02-27 06:45:52","2017-06-16 10:11:54","TXB00051089","lower","tx","85","bill","HB 2410"
"130","Relating to the promotion of tourism related to the musical heritage of this state.","2017-02-27 06:45:52","2017-06-16 10:12:00","TXB00051133","lower","tx","85","bill","HB 2079"
"131","Relating to the confidentiality of certain information related to a computer security incident.","2017-02-27 06:45:53","2017-06-16 10:12:02","TXB00051171","lower","tx","85","bill","HB 1861"
"132","Relating to a withdrawal of a candidate.","2017-02-27 06:45:53","2017-06-16 10:12:12","TXB00051179","lower","tx","85","bill","HB 1661"
"133","Relating to certain rental-purchase agreements.","2017-02-27 06:45:53","2017-06-16 10:12:26","TXB00051201","lower","tx","85","bill","HB 1859"
"134","Relating to the Palo Duro River Authority, following recommendations of the Sunset Advisory Commission.","2017-02-27 06:45:53","2017-06-16 10:12:01","TXB00051209","lower","tx","85","bill","HB 1920"
"135","Relating to deferred presentment transactions made to military borrowers.","2017-02-27 06:45:54","2017-06-16 10:12:30","TXB00051245","lower","tx","85","bill","HB 2008"
"136","Relating to changing statutory references to hearing officer and hearings officer to administrative law judge under the workers' compensation system.","2017-02-27 06:45:54","2017-06-16 10:11:59","TXB00051302","lower","tx","85","bill","HB 2111"
"137","Relating to captive insurance companies.","2017-02-27 06:45:55","2017-06-16 10:12:32","TXB00051309","lower","tx","85","bill","HB 1944"
"138","Relating to dyslexia screening and testing in public schools, the employment of dyslexia specialists by regional education service centers, the development of a list of training opportunities for educators regarding dyslexia, and transition planning for students enrolled in a special education program.","2017-02-27 06:45:55","2017-06-16 10:12:14","TXB00051324","lower","tx","85","bill","HB 1886"
"139","Relating to the authority of a county assistance district to impose a sales and use tax.","2017-02-27 06:45:55","2017-06-16 10:11:55","TXB00051337","lower","tx","85","bill","HB 2182"
"140","Relating to municipal fees charged to public school districts for water and sewer service.","2017-02-27 06:45:56","2017-06-16 10:12:02","TXB00051397","lower","tx","85","bill","HB 2369"
"141","Relating to general officers within the Texas Military Department.","2017-02-27 06:45:57","2017-06-16 10:12:16","TXB00051436","lower","tx","85","bill","HB 1905"
"142","Relating to territory of county assistance districts.","2017-02-27 06:45:57","2017-06-16 10:11:53","TXB00051442","lower","tx","85","bill","HB 1716"
"143","Relating to certification of the state's primary standards of weights and measures.","2017-02-27 06:45:57","2017-06-16 10:11:49","TXB00051473","lower","tx","85","bill","HB 1730"
"144","Relating to physician assistant services performed as volunteer care.","2017-02-27 06:45:58","2017-06-16 10:12:31","TXB00051482","lower","tx","85","bill","HB 1978"
"145","Relating to the administration of the Texas certified self-insurer guaranty trust fund.","2017-02-27 06:45:58","2017-06-16 10:12:17","TXB00051483","lower","tx","85","bill","HB 1990"
"146","Relating to the operation of medical supply transport vehicles during a declared state of disaster.","2017-02-27 06:45:58","2017-06-16 10:12:11","TXB00051493","lower","tx","85","bill","HB 1816"
"147","Relating to verification of alcohol content for prior approval of malt beverages.","2017-02-27 06:45:58","2017-06-16 10:12:32","TXB00051499","lower","tx","85","bill","HB 2299"
"148","Relating to the issuance of certain search warrants.","2017-02-27 06:45:58","2017-06-16 10:11:56","TXB00051523","lower","tx","85","bill","HB 1727"
"149","Relating to the establishment of the Work Group on Mental Health Access for First Responders.","2017-02-27 06:45:59","2017-06-16 10:12:10","TXB00051544","lower","tx","85","bill","HB 1794"
"150","Relating to eligible voters in a confirmation election for a conservation and reclamation district.","2017-02-27 06:45:59","2017-06-16 10:12:18","TXB00051556","lower","tx","85","bill","HB 2358"
"151","Relating to the operation of certain off-highway vehicles.","2017-02-27 06:45:59","2017-06-16 10:12:04","TXB00051581","lower","tx","85","bill","HB 1956"
"152","Relating to application requirements for certain probate proceedings.","2017-02-27 06:46:00","2017-06-16 10:12:25","TXB00051651","lower","tx","85","bill","HB 1814"
"153","Relating to election officers and practices; increasing a criminal penalty; creating a criminal offense.","2017-02-27 06:46:01","2017-06-16 10:12:29","TXB00051676","lower","tx","85","bill","HB 1735"
"154","Designating Stamford as the Western Art Show Capital of Texas for a 10-year period beginning in 2017.","2017-02-27 06:46:02","2017-06-16 10:12:23","TXB00051753","lower","tx","85","concurrent resolution","HCR 83"
"155","Designating Dripping Springs as the official Wedding Capital of Texas for a 10-year period beginning in 2017.","2017-02-27 06:46:02","2017-06-16 10:11:52","TXB00051781","lower","tx","85","concurrent resolution","HCR 70"
"156","Designating May as Fallen First Responder Awareness Month for a 10-year period beginning in 2017.","2017-02-27 06:46:02","2017-06-16 10:12:16","TXB00051788","lower","tx","85","concurrent resolution","HCR 86"
"157","Relating to developmental coursework offered by public institutions of higher education under the Texas Success Initiative.","2017-02-27 06:46:03","2017-06-16 10:12:19","TXB00051838","lower","tx","85","bill","HB 2223"
